category,item,brand_model,qty,unit_usd,line_usd,vendor,url,in_stock,ships_us,required_for_low_hover,notes
frame,S500 frame + CF landing gear,Readytosky S500 Stretch-X,1,50.99,50.99,Amazon,https://www.amazon.com/Readytosky-Quadcopter-Stretch-Version-Landing/dp/B01N0AX1MZ,yes,yes,no,"500mm PCB, CF gear. F450 $21.99 fallback. Clearance for belly lidar+nozzle."
motors,2212 920KV 2-4S 4-pack,HAWK'S WORK 2212 920KV,1,34.99,34.99,Amazon,https://www.amazon.com/Readytosky-2212-920KV-Brushless-Quadcopter/dp/B0DNHQS931,yes,yes,no,Set of 4. 2-4S only. Do not use 6S. 8-10in props. 3.5mm bullets.
esc,30A OPTO 2-6S 4-pack,Readytosky 30A OPTO,1,39.99,39.99,Amazon,https://www.amazon.com/Readytosky-Electronic-Controller-Helicopter-Quadcopter/dp/B09G5WFXSV,yes,yes,no,No BEC. PWM not DShot. 4S ok. Kakute onboard 5V BEC powers FC.
props,1045 16-pack,SoloGood 1045,1,13.99,13.99,Amazon,https://www.amazon.com/SoloGood-10x4-5-Propellers-Quadcopter-Multirotor/dp/B091KGR9Z6,yes,yes,no,4 fly + 12 spare. Confirm adapter rings vs 2212 shaft.
battery,4S 2200mAh 130C XT60 2-pack,OVONIC 4S 2200 130C,1,45.99,45.99,Amazon,https://www.amazon.com/OVONIC-Battery-2200mAh-14-8V-Connector/dp/B0DF23MSJY,yes,yes,no,Undersize vs Holybro 3000-5000 rec. Short hover. Zeee 3300 OOS 2026-08-30.
charger,AC 80W 1-6S balance charger,Aorika B6AC 80W,1,37.99,37.99,Amazon,https://www.amazon.com/B6AC-Balance-Battery-80W-Discharger/dp/B0F3BSLY3K,yes,yes,no,Wall AC. Laptop is not the charger. Charge attended in a LiPo bag.
flight_controller,PX4 FC 20x20 H743,Holybro Kakute H7 Mini v1.5 ICM-42688,1,58.99,58.99,Holybro,https://holybro.com/products/kakute-h7-mini,yes,yes,no,Keep Kakute. USB CDC to Pi (SYS_USB_AUTO=2). Do not buy 6C Mini for UARTs. Flash PX4 bootloader from Betaflight. China DAP.
gps,M10 GPS + IST8310 compass,Holybro M10 GPS standard 10-pin,1,43.99,43.99,Holybro,https://holybro.com/products/m10-gps,yes,yes,no,On PX4 GNSS table. Solder UART4+I2C. I2C is compass only.
optical_flow,PMW3901 UART flow,Holybro PMW3901 Optical Flow,1,20.59,20.59,Holybro,https://holybro.com/products/pmw3901-optical-flow-sensor,yes,yes,yes,PX4 SENS_TFLOW_CFG on UART2. Do not drop.
rangefinder,Downward lidar 0.1-12m,Benewake TFmini-S,1,39.9,39.9,Amazon,https://www.amazon.com/Benewake-TFmini-S-Finder-Ranging-Pixhawk/dp/B0DKCQXKLC,yes,yes,yes,UART1 SENS_TFMINI_CFG. I2C plan withdrawn (PX4 tfmini is UART-only). 0.1m min covers 6-12in. Do not drop.
radio_tx,ELRS handheld TX 2.4GHz,RadioMaster Pocket ELRS Charcoal M2,1,79.99,79.99,Amazon,https://www.amazon.com/Radiomaster-Pocket-Transmitter-Lightweight-ELRS-Charcoal/dp/B0GS8QDHP2,yes,yes,no,"RC in hand when motors can spin. 2x18650 cells: unknown price, owner parts."
radio_rx,ELRS 2.4GHz CRSF RX,RadioMaster RP1 V2,1,22.79,22.79,Amazon,https://www.amazon.com/Radiomaster-Receiver-ExpressLRS-Controller-Fixed-Wing/dp/B0FGJG4DZB,yes,yes,no,CRSF on UART6. U.FL T-antenna.
companion,WiFi RTSP companion,Raspberry Pi 4 Model B 2GB,1,82.2,82.2,Amazon,https://www.amazon.com/Raspberry-Model-2019-Quad-Bluetooth/dp/B07TD42S27,yes,yes,no,"USB CDC MAVLink to Kakute, VBUS cut (hardware/wiring.md). Pi Zero 2W US OOS. 5V 3A from Matek 5.2V BEC not FC pad."
storage,32GB microSD,SanDisk Ultra 32GB SDSQUNC,1,20.53,20.53,Amazon,https://www.amazon.com/dp/B07898TS5F,yes,yes,no,Pi OS Lite + MediaMTX.
camera,CSI 12MP 75deg AF,Arducam IMX708 Cam3 75 AF B0312,1,36.0,36.0,Amazon,https://www.amazon.com/Arducam-Raspberry-Camera-Autofocus-15-22pin/dp/B0C9PYCV9S,yes,yes,no,CSI to Pi. RTSP over WiFi to laptop.
power_bec,5.2V 5A BEC for Pi,Matek 12S Pro BEC 5.2/8/12V 5A,1,24.99,24.99,GetFPV,https://www.getfpv.com/mateksys-12s-pro-bec-9-55v-to-5v-8v-12v-5a.html,yes,yes,no,Jumper 5.2V. GetFPV In Stock 2026-08-30. Do not also jumper 12V on this unit.
power_bec,12V 5A BEC for pump,Matek 12S Pro BEC 5.2/8/12V 5A,1,24.99,24.99,GetFPV,https://www.getfpv.com/mateksys-12s-pro-bec-9-55v-to-5v-8v-12v-5a.html,yes,yes,no,"Second unit, jumper 12V. In Stock 2026-08-30. Docs: VIN>=14V for stable 12V. 4S empty ~13.2V may sag under dropout. Do not clip CrocSee to raw 4S."
pump,12V mini diaphragm,CrocSee CRS-7A016P1 12V 1.3L/min,1,14.99,14.99,Amazon,https://www.amazon.com/CrocSee-Diaphragm-Transfer-Replacement-Dispenser/dp/B09XH1GYYQ,yes,yes,no,INDEX price 2026-08-30. 9-14V. Feed only from 12V BEC. MOSFET low-side. Maiden: disconnect this lead.
switch,Logic-level MOSFET 10-pack,LinkWheres IRLZ44N TO-220,1,8.99,8.99,Amazon,https://www.amazon.com/LinkWheres-Electronic-Components-Assortment-Transistors/dp/B0GMHX4HGV,yes,yes,no,Use 1. Gate from Kakute M5. Add flyback diode. Do not use IRF520 modules.
nozzle,0.4mm brass mister 10-set + tees,M METERXITY 0.4mm mister kit,1,9.99,9.99,Amazon,https://www.amazon.com/METERXITY-Misting-Nozzles-0-016inch-Orifice/dp/B0FYQDP311,yes,yes,no,INDEX price. Use 1 nozzle.
tank,~250ml HDPE bottle,8oz HDPE squeeze (grocery or kelkaa),1,3.0,3.0,grocery/Amazon,https://www.amazon.com/kelkaa-Plastic-Condiments-Products-Refillable/dp/B07ZPX7HXV,yes,yes,no,"EST $3 grocery. Vinegar-safe HDPE. Amazon kelkaa live $ unknown, owner parts."
wiring,XT60 5-pair,XT60 nylon 5 pair,1,5.99,5.99,GetFPV,https://www.getfpv.com/xt60-power-connectors-5-pair.html,yes,yes,no,Solder 16AWG. Combine GetFPV ship with both BECs.
fasteners,M3 nylon standoff kit,Deeoee/generic 180pc M3 nylon,1,9.99,9.99,Amazon,https://www.amazon.com/dp/B07Q8B7HLH,yes,yes,no,INDEX price. Prefer Amazon-fulfilled.
shipping,Holybro CN->US DAP 3 SKUs,estimate Kakute+M10+PMW3901,1,25.0,25.0,Holybro,https://holybro.com/policies/shipping-policy,yes,yes,no,"EST $20-35 midpoint. Tariff unknown, owner parts."
shipping,GetFPV US ground 2x BEC + XT60,estimate under $199 free-ship,1,10.0,10.0,GetFPV,https://www.getfpv.com/mateksys-12s-pro-bec-9-55v-to-5v-8v-12v-5a.html,yes,yes,no,EST. Free same-day over $199. GetFPV goods now ~$56.
tax,Amazon-collected sales tax EST 8pct,CO/Denver estimate on Amazon goods $549.31,1,43.95,43.95,Amazon,https://www.amazon.com/,yes,yes,no,"EST 8%. Not a checkout quote. Operator zip unknown, owner operator."
tax,GetFPV sales tax EST 8pct,estimate on $55.97,1,4.48,4.48,GetFPV,https://www.getfpv.com/,yes,yes,no,EST. Confirm at checkout. Do not checkout.
